,links,id,objectNumber,title,hasImage,principalOrFirstMaker,longTitle,showImage,permitDownload,webImage,headerImage,productionPlaces
0,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-NM-14201', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-NM-14201'}",,BK-NM-14201,Tafel,True,,,False,False,,,[]
1,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-P-OB-35.343', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-P-OB-35.343'}",,RP-P-OB-35.343,Triomf van de liefde,True,,,False,False,,,[]
2,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1966-10', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1966-10'}",,BK-1966-10,Two candlesticks,True,,,False,False,,,[]
3,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-T-1883-A-277', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-T-1883-A-277'}",,RP-T-1883-A-277,Gezicht op de ruïnes van het Colosseum,True,,,False,False,,,[]
4,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-T-1950-94', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-T-1950-94'}",,RP-T-1950-94,Bezoekers op de Kunsttentoonstelling te Amsterdam in 1808,True,,,False,False,,,[]
5,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1959-14', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1959-14'}",,BK-1959-14,The Resurrection of Christ,True,,,False,False,,,[]
6,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-T-1971-52', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-T-1971-52'}",,RP-T-1971-52,Study of a Head and Left Shoulder of a Woman,True,,,False,False,,,[]
7,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4885', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4885'}",,SK-A-4885,Portrait of Johannes Wtenbogaert,True,,,False,False,,,[]
8,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-15982', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-15982'}",,BK-15982,Kussenkast met vrijstaande Korintische zuilen en belijmd met palissander- en ebbenhout,True,,,False,False,,,[]
9,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-VG-1-482', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-VG-1-482'}",,NG-VG-1-482,"Inname van Breda met het behulp van het turfschip, penning geschonken aan de veroveraars van de stad",True,,,False,False,,,[]
10,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/AK-NM-7088', 'web': 'https://www.rijksmuseum.nl/en/collection/AK-NM-7088'}",,AK-NM-7088,Toe jewellery,True,,,False,False,,,[]
11,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-VG-1-406', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-VG-1-406'}",,NG-VG-1-406,Ontzet van Leiden,True,,,False,False,,,[]
12,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-BFR-419', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-BFR-419'}",,BK-BFR-419,Portico and pediment from the Huydecoper house,True,,,False,False,,,[]
13,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-P-OB-963', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-P-OB-963'}",,RP-P-OB-963,Heilige Eligius in zijn werkplaats,True,,,False,False,,,[]
14,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-16625', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-16625'}",,BK-16625,Cupboard,True,,,False,False,,,[]
15,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-16431', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-16431'}",,BK-16431,Mirrored cabinet,True,,,False,False,,,[]
