,links,id,objectNumber,title,hasImage,principalOrFirstMaker,longTitle,showImage,permitDownload,webImage,headerImage,productionPlaces
0,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3233', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3233'}",,SK-A-3233,Winter,True,,,False,False,,,[]
1,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3924', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3924'}",,SK-A-3924,Pompeius Occo,True,,,False,False,,,[]
2,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1584', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1584'}",,SK-A-1584,Interior of the Oude Kerk in Delft,True,,,False,False,,,[]
3,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2783', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2783'}",,SK-A-2783,Democritus,True,,,False,False,,,[]
4,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4866', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4866'}",,SK-A-4866,Lot and his Daughters,True,,,False,False,,,[]
5,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4844', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4844'}",,SK-A-4844,Gallant Company,True,,,False,False,,,[]
6,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3889', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3889'}",,SK-A-3889,"William III (1650-1702), Prince of Orange, as a Child",True,,,False,False,,,[]
7,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1247', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1247'}",,SK-A-1247,Portrait of a Woman,True,,,False,False,,,[]
8,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-102', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-102'}",,SK-A-102,"William II, Prince of Orange, and his Bride, Mary Stuart",True,,,False,False,,,[]
9,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3765', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3765'}",,SK-A-3765,"Portrait of Joan Maetsuyker, Governor-General of the Dutch East Indies",True,,,False,False,,,[]
10,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-123', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-123'}",,SK-A-123,Landscape with Two Oaks,True,,,False,False,,,[]
11,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4034', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4034'}",,SK-A-4034,"Hermanus Boerhaave (1668-1738), Professor of Medicine at the University of Leiden, with his Wife Maria Drolenvaux (1686-1746) and their Daughter Johanna Maria (1712-91)",True,,,False,False,,,[]
12,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-374', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-374'}",,SK-C-374,"Militia Company of District XI under the Command of Captain Reynier Reael, Known as ‘The Meagre Company’",True,,,False,False,,,[]
