,links,id,objectNumber,title,hasImage,principalOrFirstMaker,longTitle,showImage,permitDownload,webImage,headerImage,productionPlaces
0,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2298', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2298'}",,SK-A-2298,Meadow near Oosterbeek,True,,,False,False,,,[]
1,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4750', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4750'}",,SK-A-4750,"The ‘Golden Bend’ in the Herengracht, Amsterdam, Seen from the West",True,,,False,False,,,[]
2,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1957', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1957'}",,SK-A-1957,A Painter’s Studio,True,,,False,False,,,[]
3,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3247', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3247'}",,SK-A-3247,Enjoying the Ice,True,,,False,False,,,[]
4,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4226', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4226'}",,SK-A-4226,The Sea near Katwijk,True,,,False,False,,,[]
5,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1522', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1522'}",,SK-A-1522,Still Life with Flowers in a Wan-li Vase,True,,,False,False,,,[]
6,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1328', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1328'}",,SK-A-1328,The Yellow Riders,True,,,False,False,,,[]
7,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-676', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-676'}",,SK-A-676,Prince Maurice and Frederick Henry at the Valkenburg Horse Fair,True,,,False,False,,,[]
8,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-35', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-35'}",,SK-A-35,"De Waag (Weighing House) and Crane on the Spaarne, Haarlem",True,,,False,False,,,[]
9,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-684', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-684'}",,SK-A-684,Maria Rey (1630/31-1703). Wife of Roelof Meulenaer,True,,,False,False,,,[]
10,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4820', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4820'}",,SK-A-4820,The Marriage at Cana,True,,,False,False,,,[]
11,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2110', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2110'}",,SK-A-2110,Girl Peeling an Apple,True,,,False,False,,,[]
12,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1998', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1998'}",,SK-A-1998,The Grand Vizier Crossing the Atmeydanı (Horse Square),True,,,False,False,,,[]
13,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3828', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3828'}",,SK-A-3828,Still Life,True,,,False,False,,,[]
14,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1774', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1774'}",,SK-A-1774,Winter (Amusement on the Ice),True,,,False,False,,,[]
15,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-714', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-714'}",,SK-A-714,"Portrait of an Old Lady, Possibly Elisabeth Bas",True,,,False,False,,,[]
16,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-1535', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-1535'}",,SK-C-1535,The Raampoortje in Amsterdam,True,,,False,False,,,[]
17,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-614', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-614'}",,SK-A-614,Aeneas at the Court of Latinus,True,,,False,False,,,[]
18,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-405', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-405'}",,SK-A-405,"Ratification of the Peace of Münster between Spain and the Dutch Republic in the Town Hall of Münster, 15 May 1648",True,,,False,False,,,[]
19,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4078', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4078'}",,SK-A-4078,Ambassador Cornelis Calkoen at his Audience with Sultan Ahmed III,True,,,False,False,,,[]
20,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1848', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1848'}",,SK-A-1848,"A Ship on the High Seas Caught by a Squall, Known as ‘The Gust’",True,,,False,False,,,[]
21,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3855', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3855'}",,SK-A-3855,Portrait of Joseph Deutz,True,,,False,False,,,[]
22,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1955', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1955'}",,SK-A-1955,Shipwreck off a Rocky Coast,True,,,False,False,,,[]
23,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4853', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4853'}",,SK-A-4853,The Peace Negotiations between Claudius Civilis and Quintus Petillius Cerealis on the Demolished Bridge.,True,,,False,False,,,[]
24,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-1458', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-1458'}",,SK-C-1458,The Adoration of the Magi,True,,,False,False,,,[]
25,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-19', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-19'}",,SK-A-19,The Castle of Batavia,True,,,False,False,,,[]
26,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4038', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4038'}",,SK-A-4038,Seated Girl in Peasant Costume,True,,,False,False,,,[]
27,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-486', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-486'}",,SK-A-486,"Assault on the Town of Coevorden, 30 December 1672",True,,,False,False,,,[]
28,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2103', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2103'}",,SK-A-2103,Still Life with Flowers,True,,,False,False,,,[]
29,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3280', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3280'}",,SK-A-3280,"Abraham Casteleyn and his Wife, Margarieta van Bancken",True,,,False,False,,,[]
30,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-15', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-15'}",,SK-A-15,The Corpses of the De Witt Brothers,True,,,False,False,,,[]
31,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4054', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4054'}",,SK-A-4054,"Interior of a Protestant, Gothic Church, with a Gravedigger in the Choir",True,,,False,False,,,[]
32,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3746', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3746'}",,SK-A-3746,The Preaching of Saint John the Baptist,True,,,False,False,,,[]
33,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1606', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1606'}",,SK-A-1606,Prometheus Being Chained by Vulcan,True,,,False,False,,,[]
34,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-955', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-955'}",,SK-A-955,"The Vijverberg, The Hague, in Winter, with Prince Maurits and his Retinue in the Foreground",True,,,False,False,,,[]
35,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1610', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1610'}",,SK-A-1610,The Grey Horse,True,,,False,False,,,[]
36,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2152', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2152'}",,SK-A-2152,Still Life with Fruit and Flowers,True,,,False,False,,,[]
37,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-591', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-591'}",,SK-A-591,A Dog and a Cat near a partially disembowelled Deer,True,,,False,False,,,[]
38,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2163', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2163'}",,SK-A-2163,The Explosion of the Spanish Flagship during the Battle of Gibraltar,True,,,False,False,,,[]
39,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4823', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4823'}",,SK-A-4823,Venus and Adonis,True,,,False,False,,,[]
40,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1923', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1923'}",,SK-A-1923,Wooded View near Barbizon,True,,,False,False,,,[]
41,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4857', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4857'}",,SK-A-4857,Self-portrait,True,,,False,False,,,[]
42,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2313', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2313'}",,SK-A-2313,A Coastal Ruin in Italy,True,,,False,False,,,[]
43,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-42', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-42'}",,SK-A-42,Self-Portrait,True,,,False,False,,,[]
44,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-91', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-91'}",,SK-A-91,Salome ontvangt het hoofd van Johannes de Doper,True,,,False,False,,,[]
45,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-182', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-182'}",,SK-A-182,Woman with a Child in a Pantry,True,,,False,False,,,[]
