,links,id,objectNumber,title,hasImage,principalOrFirstMaker,longTitle,showImage,permitDownload,webImage,headerImage,productionPlaces
24,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-128', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-128'}",,SK-A-128,The Massacre of the Innocents,True,,,False,False,,,[]
25,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-149', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-149'}",,SK-C-149,"A Mother Delousing her Child’s Hair, Known as ‘A Mother’s Duty’",True,,,False,False,,,[]
26,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4821', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4821'}",,SK-A-4821,Still Life with Cheese,True,,,False,False,,,[]
27,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-597', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-597'}",,SK-C-597,"Portrait of a Woman, Possibly Maria Trip",True,,,False,False,,,[]
28,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-216', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-216'}",,SK-C-216,"Portrait of a Couple as Isaac and Rebecca, known as ‘The Jewish Bride’",True,,,False,False,,,[]
29,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1115', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1115'}",,SK-A-1115,The Battle of Waterloo,True,,,False,False,,,[]
30,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4050', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4050'}",,SK-A-4050,Self Portrait as the Apostle Paul,True,,,False,False,,,[]
31,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4691', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4691'}",,SK-A-4691,Self-portrait,True,,,False,False,,,[]
32,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4830', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4830'}",,SK-A-4830,Still Life with a Gilt Cup,True,,,False,False,,,[]
33,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1451', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1451'}",,SK-A-1451,The Well-stocked Kitchen,True,,,False,False,,,[]
34,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1505', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1505'}",,SK-A-1505,"A Windmill on a Polder Waterway, Known as ‘In the Month of July’",True,,,False,False,,,[]
35,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3841', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3841'}",,SK-A-3841,Worship of the Golden Calf,True,,,False,False,,,[]
