,links,id,objectNumber,title,hasImage,principalOrFirstMaker,longTitle,showImage,permitDownload,webImage,headerImage,productionPlaces
0,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-378', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-378'}",,SK-C-378,The Company of Captain Dirck Jacobsz Rosecrans and Lieutenant Pauw,True,,,False,False,,,[]
1,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-381', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-381'}",,SK-C-381,"Officers and other Civic Guardsmen of the IIIrd District of Amsterdam, under the Command of Captain Allaert Cloeck and Lieutenant Lucas Jacobsz Rotgans, 1632",True,,,False,False,,,[]
2,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3925', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3925'}",,SK-A-3925,The Rapenburg in Leiden,True,,,False,False,,,[]
3,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4062', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4062'}",,SK-A-4062,"Pieter Cnoll, Cornelia van Nijenrode and their Daughters",True,,,False,False,,,[]
4,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-804', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-804'}",,SK-A-804,Salome Dancing for Herod,True,,,False,False,,,[]
5,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3592', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3592'}",,SK-A-3592,Shop Window,True,,,False,False,,,[]
6,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-250', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-250'}",,SK-A-250,The Old Drinker,True,,,False,False,,,[]
7,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4026', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4026'}",,SK-A-4026,The Bookshop and Lottery Agency of Jan de Groot in the Kalverstraat in Amsterdam,True,,,False,False,,,[]
8,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-NM-12400-61', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-NM-12400-61'}",,BK-NM-12400-61,Plate with Christ on the Mount of Olives,True,,,False,False,,,[]
9,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-NM-12400-93', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-NM-12400-93'}",,BK-NM-12400-93,Bust of King-Stadtholder William III,True,,,False,False,,,[]
10,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-NM-14111', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-NM-14111'}",,BK-NM-14111,Aquamanile in the form of a horse,True,,,False,False,,,[]
11,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4209', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4209'}",,SK-A-4209,"The Spendthrift or the Wasteful Woman, act III, scene V, from the Play by Thomas Asselijn (Joanna and the Polish Jewish Traders)",True,,,False,False,,,[]
12,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-AM-16-C', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-AM-16-C'}",,BK-AM-16-C,Two glass holders,True,,,False,False,,,[]
13,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-NM-14348', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-NM-14348'}",,BK-NM-14348,Lock plate,True,,,False,False,,,[]
14,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1959-63', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1959-63'}",,BK-1959-63,De voetwassing,True,,,False,False,,,[]
15,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-NM-11450', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-NM-11450'}",,BK-NM-11450,Bust of Saint Frederick,True,,,False,False,,,[]
16,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-AM-18-C', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-AM-18-C'}",,BK-AM-18-C,Funeral Shield of the Cobblers’ Guild in Amsterdam,True,,,False,False,,,[]
17,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-17260-A', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-17260-A'}",,BK-17260-A,Tapestry with the arms of Emperor Charles V,True,,,False,False,,,[]
18,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1978-792', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1978-792'}",,BK-1978-792,Gentlemen’s ‘Night’ Cap,True,,,False,False,,,[]
19,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-519', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-519'}",,NG-519,"Wapentapijt van koning Willem III, stadhouder van de Nederlanden, en koningin Mary Stuart II",True,,,False,False,,,[]
20,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-NM-7459', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-NM-7459'}",,BK-NM-7459,Pendant in the form of a cock,True,,,False,False,,,[]
21,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1959-98', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1959-98'}",,BK-1959-98,Triomf van de faam over de dood,True,,,False,False,,,[]
22,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4908', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4908'}",,SK-A-4908,Memorial Portrait of Moses ter Borch,True,,,False,False,,,[]
23,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1991-29', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1991-29'}",,BK-1991-29,Servet met het wapen van graaf Maurits van Oranje-Nassau,True,,,False,False,,,[]
24,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-1967-138', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-1967-138'}",,BK-1967-138,Het Gastmaal bij Simon te Bethanië,True,,,False,False,,,[]
25,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-15119', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-15119'}",,BK-15119,De Rechtspraak van Zaleucus,True,,,False,False,,,[]
26,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4922', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4922'}",,SK-A-4922,St Paul Healing the Cripple at Lystra,True,,,False,False,,,[]
27,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/RP-P-OB-15.078', 'web': 'https://www.rijksmuseum.nl/en/collection/RP-P-OB-15.078'}",,RP-P-OB-15.078,"Lijkstatie van prins Maurits in 1625, deel rechtsboven",True,,,False,False,,,[]
28,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-NM-12231-A', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-NM-12231-A'}",,BK-NM-12231-A,Sheltering the Homeless,True,,,False,False,,,[]
29,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/BK-17492', 'web': 'https://www.rijksmuseum.nl/en/collection/BK-17492'}",,BK-17492,Monkey with a snuffbox,True,,,False,False,,,[]
30,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/NG-1983-3-A-1', 'web': 'https://www.rijksmuseum.nl/en/collection/NG-1983-3-A-1'}",,NG-1983-3-A-1,Zilveren staven Slot ter Hooghe,True,,,False,False,,,[]
