,links,id,objectNumber,title,hasImage,principalOrFirstMaker,longTitle,showImage,permitDownload,webImage,headerImage,productionPlaces
0,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3659', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3659'}",,SK-A-3659,De Dam te Amsterdam,True,,,False,False,,,[]
1,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-256', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-256'}",,SK-A-256,Portrait of Prince Philip William of Orange,True,,,False,False,,,[]
2,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2670', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2670'}",,SK-A-2670,Fishing Pinks in Breaking Waves,True,,,False,False,,,[]
3,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-1349', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-1349'}",,SK-C-1349,Salome with the Head of John the Baptist,True,,,False,False,,,[]
4,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-C-402', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-C-402'}",,SK-C-402,"A Group of Guardsmen, 1529",True,,,False,False,,,[]
5,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-1857', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-1857'}",,SK-A-1857,Still Life with a Fish,True,,,False,False,,,[]
6,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2213', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2213'}",,SK-A-2213,Still Life near a Fountain,True,,,False,False,,,[]
7,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3519', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3519'}",,SK-A-3519,"Portraits of a Couple, possibly Pieter Gerritsz Bicker and Anna Codde",True,,,False,False,,,[]
8,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-70', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-70'}",,SK-A-70,Latona and the Lycian Peasants,True,,,False,False,,,[]
9,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4690', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4690'}",,SK-A-4690,The Continence of Scipio,True,,,False,False,,,[]
10,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2656', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2656'}",,SK-A-2656,Naïef of karikaturaal portret van Jean-Etienne Liotard op ongeveer 54-jarige leeftijd,True,,,False,False,,,[]
11,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2983', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2983'}",,SK-A-2983,Ducks’ Nests,True,,,False,False,,,[]
12,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-2326', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-2326'}",,SK-A-2326,The Serenade,True,,,False,False,,,[]
13,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-3451', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-3451'}",,SK-A-3451,Rembrandt as Shepherd with Staff and Flute,True,,,False,False,,,[]
14,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4188', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4188'}",,SK-A-4188,The Adoration of the Kings,True,,,False,False,,,[]
15,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-668', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-668'}",,SK-A-668,Saul and the Witch of Endor,True,,,False,False,,,[]
16,"{'self': 'https://www.rijksmuseum.nl/api/en/collection/SK-A-4463', 'web': 'https://www.rijksmuseum.nl/en/collection/SK-A-4463'}",,SK-A-4463,"Maria of Hungary, Regent of the Netherlands",True,,,False,False,,,[]
